id,Label,Number_Points,Coord-0,Coord-1,hour,trip_seconds
46,46,13,12,4,0.521739,0.184442
47,47,11,15,5,0.652174,0.226874
48,48,4,11,11,0.478261,0.478043
49,49,65,14,1,0.608696,0.063527
50,50,20,7,6,0.304348,0.263488
51,51,13,10,6,0.434783,0.275360
52,52,37,5,0,0.217391,0.026145
53,53,57,16,1,0.695652,0.063330
54,54,7,9,4,0.391304,0.184442
55,55,35,14,2,0.608696,0.103567
56,56,5,2,3,0.086957,0.152823
57,57,53,12,1,0.521739,0.065979
58,58,41,16,2,0.695652,0.101631
59,59,5,4,5,0.173913,0.231117
60,60,12,9,8,0.391304,0.360100
61,61,50,8,1,0.347826,0.062785
62,62,15,13,4,0.565217,0.186951
63,63,5,3,5,0.130435,0.225094
64,64,3,14,10,0.608696,0.432873
65,65,7,13,9,0.565217,0.393081
66,66,46,3,2,0.130435,0.100158
67,67,7,11,6,0.478261,0.271554
68,68,12,12,9,0.521739,0.395232
69,69,9,5,5,0.217391,0.227102
70,70,48,8,0,0.347826,0.028545
71,71,26,15,2,0.652174,0.099315
72,72,51,7,0,0.304348,0.029449
73,73,9,13,6,0.565217,0.267252
74,74,8,14,7,0.608696,0.306775
75,75,43,12,0,0.521739,0.030025
76,76,43,11,2,0.478261,0.097955
77,77,13,14,5,0.608696,0.226136
