trip_seconds,trip_miles,cellId,label-gC,label-GT
0.022556,0.01,3,-1,-1
0.012531,0.007,4,-1,-1
0.052632,0.009,1,-1,-1
0.042607,0.019,1,-1,-1
0.162907,0.133,34,-1,-1
0.077694,0.061,18,-1,-1
0.057644,0.027,6,-1,-1
0.067669,0.016,0,-1,-1
0.032581,0.012,3,-1,-1
0.067669,0.09,35,-1,-1
0.157895,0.054,36,-1,-1
0.062657,0.07,18,-1,-1
0.042607,0.017,1,-1,-1
0.052632,0.015,1,-1,-1
0.052632,0.011,1,-1,-1
0.082707,0.086,12,-1,-1
0.057644,0.039,6,-1,-1
0.052632,0.014,1,-1,-1
0.037594,0.006,3,-1,-1
0.243108,0.169,16,-1,-1
0.047619,0.022,6,-1,-1
0.077694,0.023,5,-1,-1
0.022556,0.011,3,-1,-1
0.022556,0.011,3,-1,-1
0.022556,0.006,3,-1,-1
0.142857,0.228,37,-1,-1
0.027569,0.005,3,-1,-1
0.032581,0.017,3,-1,-1
0.042607,0.024,6,-1,-1
0.032581,0.007,3,-1,-1
0.032581,0.007,3,-1,-1
0.12782,0.109,38,-1,-1
0.027569,0.008,3,-1,-1
0.197995,0.176,39,-1,-1
0.052632,0.017,1,-1,-1
0.047619,0.009,1,-1,-1
0.057644,0.029,6,-1,-1
0.313283,0.173,40,-1,-1
0.062657,0.017,0,-1,-1
0.017544,0.01,4,-1,-1
0.042607,0.013,1,-1,-1
0.047619,0.017,1,-1,-1
0.062657,0.017,0,-1,-1
0.042607,0.046,13,-1,-1
0.082707,0.054,32,-1,-1
0.017544,0.007,4,-1,-1
0.032581,0.007,3,-1,-1
0.072682,0.033,5,-1,-1
0.052632,0.012,1,-1,-1
0.027569,0.006,3,-1,-1
0.047619,0.012,1,-1,-1
0.027569,0.009,3,-1,-1
0.037594,0.006,3,-1,-1
0.057644,0.019,1,-1,-1
0.062657,0.016,0,-1,-1
0.022556,0.013,3,-1,-1
0.017544,0.011,4,-1,-1
0.032581,0.012,3,-1,-1
0.002506,0,4,-1,-1
0.022556,0.009,3,-1,-1
0.037594,0.015,3,-1,-1
0.243108,0.177,16,-1,-1
0.042607,0.016,1,-1,-1
0.067669,0.062,18,-1,-1
0.012531,0.004,4,-1,-1
0.102757,0.136,41,-1,-1
0.002506,0.003,4,-1,-1
0.057644,0.013,1,-1,-1
0.152882,0.086,42,-1,-1
0.017544,0.005,4,-1,-1
0.052632,0.019,1,-1,-1
0.022556,0.007,3,-1,-1
0.032581,0.011,3,-1,-1
0.032581,0.007,3,-1,-1
0.042607,0.014,1,-1,-1
0.017544,0.007,4,-1,-1
0.047619,0.012,1,-1,-1
0.052632,0.046,13,-1,-1
0.042607,0.026,6,-1,-1
0.012531,0.013,4,-1,-1
0.037594,0.011,3,-1,-1
0.077694,0.023,5,-1,-1
0.278195,0.174,43,-1,-1
0.032581,0.011,3,-1,-1
0.057644,0.02,6,-1,-1
0.052632,0.018,1,-1,-1
0.022556,0.007,3,-1,-1
0.022556,0.01,3,-1,-1
0.057644,0.03,6,-1,-1
0.022556,0.019,3,-1,-1
0.017544,0.006,4,-1,-1
0.027569,0.017,3,-1,-1
0.002506,0,4,-1,-1
0.062657,0.016,0,-1,-1
0.042607,0.012,1,-1,-1
0.027569,0.004,3,-1,-1
0.022556,0.008,3,-1,-1
0.057644,0.02,6,-1,-1
0.037594,0.019,3,-1,-1
0.067669,0.023,5,-1,-1
0.057644,0.014,1,-1,-1
0.022556,0.011,3,-1,-1
0.022556,0.009,3,-1,-1
0.022556,0.013,3,-1,-1
0.062657,0.023,5,-1,-1
0.022556,0.007,3,-1,-1
0.042607,0,1,-1,-1
0.027569,0.011,3,-1,-1
0.042607,0.01,1,-1,-1
0.072682,0.045,2,-1,-1
0.037594,0.011,3,-1,-1
0.122807,0.098,44,-1,-1
0.047619,0.015,1,-1,-1
0.177945,0.271,45,-1,-1
0.052632,0.013,1,-1,-1
0.012531,0.004,4,-1,-1
0.022556,0.007,3,-1,-1
0.012531,0.006,4,-1,-1
0.027569,0.01,3,-1,-1
0.017544,0.007,4,-1,-1
0.062657,0.02,5,-1,-1
0.017544,0.01,4,-1,-1
0.042607,0.015,1,-1,-1
0.017544,0.008,4,-1,-1
0.14787,0.03,46,-1,-1
0.042607,0.015,1,-1,-1
0.157895,0.062,47,-1,-1
0.112782,0.07,8,-1,-1
0.348371,0.178,48,-1,-1
0.002506,0.004,4,-1,-1
0.042607,0.012,1,-1,-1
0.017544,0.008,4,-1,-1
0.037594,0.015,3,-1,-1
0.067669,0.025,5,-1,-1
0.303258,0.178,40,-1,-1
0.022556,0.007,3,-1,-1
0.002506,0,4,-1,-1
0.032581,0.01,3,-1,-1
0.082707,0.014,9,-1,-1
0.037594,0.012,3,-1,-1
0.047619,0.01,1,-1,-1
0.032581,0.011,3,-1,-1
0.032581,0.016,3,-1,-1
0.012531,0.009,4,-1,-1
0.017544,0.009,4,-1,-1
0.032581,0.011,3,-1,-1
0.047619,0.008,1,-1,-1
0.032581,0.022,49,-1,-1
0.037594,0.005,3,-1,-1
0.072682,0.028,5,-1,-1
0.107769,0.07,8,-1,-1
0.052632,0.007,1,-1,-1
0.017544,0.007,4,-1,-1
0.027569,0.013,3,-1,-1
0.017544,0.008,4,-1,-1
0.097744,0.017,9,-1,-1
0.042607,0.011,1,-1,-1
0.052632,0.021,6,-1,-1
0.152882,0.12,50,-1,-1
0.032581,0.013,3,-1,-1
0.022556,0.012,3,-1,-1
0.037594,0.015,3,-1,-1
0.037594,0.006,3,-1,-1
0.092732,0.029,15,-1,-1
0.047619,0.019,1,-1,-1
0.027569,0.009,3,-1,-1
0.037594,0.009,3,-1,-1
0.012531,0.005,4,-1,-1
0.047619,0.011,1,-1,-1
0.032581,0.011,3,-1,-1
