taxi_id, qty
b50eb90cadd2a392b75b725c90d6784b429ca6854e0947174523caaaed12df1e0828a8018739983be35007dc9b24ee0e3b1e098373528584a5a8c2e60bbb3ae6,759
7c51c6dc64becb25ed13b130bf03c67bab1958c6f1a92f6f7fe36f7e0bf499b4b5b5d0c274c663ff6f3d986a48a52a62a12a8935cf5cbbaf2881332500330727,968
d1b8521ed4784a33ed7be8ad0a17310131286279504140fd1517dc45a73929267c2abf09d773e863c0f13cdbb5d70462c7de0bbaca3d9dc41fff96c6d7232f9a,812
5f1b2301b2ad74e61820da4a435a6281b1430fda6eadd2268dc4b1de8d4b75eb02930a8a1bc9905098ede61f7f6fadf734356334a27005f7752fdecaf66a89a8,568
455b6b5cae6ca5a17cddd251485f2266d13d6a2c92f07c2968c24f39032ecc76fcc1928d14ce8bba5214e04fe22bdcaa431471b0fbabbdf8fa62650c164e901a,529
4c8b6783201bdc422fd78043aceeea92a005af4c37bba75557fec78e817ed60d9842b167724bc63a2dcd7368b4d467b0ed2da2025f36e7749fbf3d1e42735083,3219
