id,Label,Number_Points,trip_seconds,trip_miles
198,198,1,0.448622,0.237000
199,199,1,0.218045,0.244000
200,200,1,0.528822,0.063000
201,201,1,0.323308,0.131000
202,202,1,0.253133,0.000000
203,203,1,0.213033,0.016000
204,204,1,0.268170,0.347000
0,0,2453,0.049640,0.001077
1,1,3278,0.030061,0.000263
2,2,778,0.089768,0.003166
3,3,1398,0.069240,0.001991
4,4,1596,0.013015,0.000005
5,5,54,0.249977,0.010333
6,6,356,0.129847,0.006938
7,7,22,0.289588,0.010364
8,8,63,0.231253,0.009476
9,9,110,0.190021,0.009291
10,10,165,0.170077,0.008424
11,11,523,0.110242,0.005727
12,12,33,0.270601,0.010061
13,13,204,0.150081,0.007912
14,14,87,0.210325,0.009241
15,15,1,0.433584,0.039000
16,16,5,0.014536,0.033400
17,17,1,0.057644,0.080000
18,18,8,0.026942,0.049000
19,19,13,0.330249,0.010308
20,20,2,0.062657,0.145500
21,21,1,0.097744,0.652000
22,22,3,0.490393,0.007667
23,23,4,0.389724,0.010250
24,24,3,0.045948,0.233667
25,25,2,0.070175,0.177000
26,26,4,0.251880,0.022000
27,27,5,0.029574,0.092800
28,28,1,0.002506,0.043000
29,29,1,0.057644,0.149000
30,30,1,0.062657,0.410000
31,31,4,0.372180,0.010000
32,32,2,0.045113,0.130000
33,33,5,0.029574,0.065600
34,34,2,0.042607,0.055000
35,35,1,0.092732,0.615000
36,36,2,0.035088,0.130000
37,37,2,0.065163,0.226000
38,38,1,0.323308,0.025000
39,39,1,0.097744,0.397000
40,40,1,0.057644,0.074000
41,41,1,0.629073,0.020000
42,42,16,0.309837,0.010250
43,43,1,0.022556,0.037000
44,44,3,0.411863,0.010667
45,45,1,0.082707,0.229000
46,46,1,0.032581,0.105000
47,47,1,0.122807,0.838000
48,48,1,0.057644,0.366000
49,49,4,0.352130,0.011000
50,50,1,0.077694,0.111000
51,51,1,0.593985,0.012000
52,52,1,0.052632,0.453000
53,53,1,0.067669,0.087000
54,54,1,0.513784,0.013000
55,55,1,0.047619,0.279000
56,56,1,0.052632,0.298000
57,57,1,0.814536,0.011000
58,58,2,0.433584,0.006000
59,59,1,0.082707,0.329000
60,60,1,0.308271,0.029000
61,61,1,0.042607,0.211000
62,62,2,0.047619,0.111500
63,63,1,0.228070,0.021000
