id,Label,Number_Points,trip_seconds,trip_miles
198,198,1,0.343358,0.049000
199,199,1,0.468672,0.162000
200,200,1,0.433584,0.258000
201,201,1,0.493734,0.199000
202,202,1,0.383459,0.154000
203,203,1,0.353383,0.209000
204,204,1,0.177945,0.372000
205,205,1,0.238095,0.049000
206,206,1,0.137845,0.266000
207,207,1,0.543860,0.157000
208,208,1,0.328321,0.387000
209,209,1,0.313283,0.090000
210,210,1,0.213033,0.231000
211,211,1,0.313283,0.240000
212,212,2,0.215539,0.245000
213,213,1,0.253133,0.343000
214,214,1,0.313283,0.072000
215,215,1,0.393484,0.526000
216,216,1,0.323308,0.113000
217,217,1,0.258145,0.085000
218,218,1,0.268170,0.078000
219,219,1,0.568922,0.239000
220,220,1,0.378446,0.081000
221,221,1,0.248120,0.229000
222,222,1,0.112782,0.204000
223,223,1,0.433584,0.272000
224,224,1,0.523810,0.344000
