Taxi_id,time_stamp,hour,day,month,year,day_of_week,trip_seconds,trip_miles,trip_total
5f1b23,2015-03-14 18:00:00.000000 UTC,18,14,3,2015,7,300,0.8,5.45
5f1b23,2014-07-05 17:30:00.000000 UTC,17.5,5,7,2014,7,1020,3.9,15.9
5f1b23,2015-08-22 23:15:00.000000 UTC,23.25,22,8,2015,7,720,2.3,10.65
5f1b23,2014-04-26 18:30:00.000000 UTC,18.5,26,4,2014,7,540,1,8.65
5f1b23,2015-11-21 20:30:00.000000 UTC,20.5,21,11,2015,7,1440,11.6,30.65
5f1b23,2014-12-13 20:30:00.000000 UTC,20.5,13,12,2014,7,300,1,5.45
5f1b23,2014-03-22 00:00:00.000000 UTC,0,22,3,2014,7,3180,7.4,29.85
5f1b23,2014-03-16 04:30:00.000000 UTC,4.5,16,3,2014,1,660,3.5,11.45
5f1b23,2015-07-05 21:45:00.000000 UTC,21.75,5,7,2015,1,540,2.4,9.75
5f1b23,2015-04-11 11:45:00.000000 UTC,11.75,11,4,2015,7,780,2.3,10.05
5f1b23,2016-12-24 13:00:00.000000 UTC,13,24,12,2016,7,660,3.2,11.5
5f1b23,2014-06-07 01:45:00.000000 UTC,1.75,7,6,2014,7,420,2.3,7.85
5f1b23,2015-05-03 12:45:00.000000 UTC,12.75,3,5,2015,1,1020,7.6,22.05
5f1b23,2015-06-27 22:00:00.000000 UTC,22,27,6,2015,7,1680,15.5,33.45
5f1b23,2016-07-24 17:30:00.000000 UTC,17.5,24,7,2016,1,720,4.2,14
5f1b23,2015-04-11 13:00:00.000000 UTC,13,11,4,2015,7,420,1.2,7.45
5f1b23,2015-09-26 18:30:00.000000 UTC,18.5,26,9,2015,7,240,0.8,7.05
5f1b23,2015-01-24 18:30:00.000000 UTC,18.5,24,1,2015,7,480,1.7,7.85
5f1b23,2014-02-08 20:15:00.000000 UTC,20.25,8,2,2014,7,420,0,8.15
5f1b23,2014-12-27 19:45:00.000000 UTC,19.75,27,12,2014,7,240,0.9,6.45
5f1b23,2016-07-09 20:30:00.000000 UTC,20.5,9,7,2016,7,1140,7.4,25.8
5f1b23,2015-08-09 15:45:00.000000 UTC,15.75,9,8,2015,1,360,1.7,7.85
5f1b23,2015-04-12 17:45:00.000000 UTC,17.75,12,4,2015,1,480,1.6,6.85
5f1b23,2014-03-23 20:15:00.000000 UTC,20.25,23,3,2014,1,660,3.3,12.65
5f1b23,2015-07-12 18:45:00.000000 UTC,18.75,12,7,2015,1,660,4,14.05
5f1b23,2014-11-01 20:15:00.000000 UTC,20.25,1,11,2014,7,480,1.1,7.45
5f1b23,2015-02-15 19:00:00.000000 UTC,19,15,2,2015,1,720,3.6,11.65
5f1b23,2014-03-22 06:15:00.000000 UTC,6.25,22,3,2014,7,1020,10.8,25.45
5f1b23,2014-03-02 22:00:00.000000 UTC,22,2,3,2014,1,360,1.3,7.75
5f1b23,2014-01-11 23:15:00.000000 UTC,23.25,11,1,2014,7,420,0,9.05
5f1b23,2014-01-19 18:30:00.000000 UTC,18.5,19,1,2014,1,660,0,15.85
5f1b23,2014-12-28 19:00:00.000000 UTC,19,28,12,2014,1,1500,13.6,28.65
5f1b23,2014-03-22 03:00:00.000000 UTC,3,22,3,2014,7,180,0.6,4.45
5f1b23,2015-10-24 18:15:00.000000 UTC,18.25,24,10,2015,7,1080,5.9,16.45
5f1b23,2014-08-17 18:15:00.000000 UTC,18.25,17,8,2014,1,840,6.8,16.45
5f1b23,2014-03-08 10:30:00.000000 UTC,10.5,8,3,2014,7,420,0.7,6.85
5f1b23,2014-06-14 19:45:00.000000 UTC,19.75,14,6,2014,7,780,3,10.65
5f1b23,2014-03-02 21:15:00.000000 UTC,21.25,2,3,2014,1,360,1.4,7.25
5f1b23,2015-09-19 21:15:00.000000 UTC,21.25,19,9,2015,7,660,3,12.95
5f1b23,2015-11-21 16:15:00.000000 UTC,16.25,21,11,2015,7,480,1.4,6.45
5f1b23,2014-09-27 20:15:00.000000 UTC,20.25,27,9,2014,7,60,0.2,3.85
5f1b23,2015-06-13 21:00:00.000000 UTC,21,13,6,2015,7,540,2,10.25
5f1b23,2014-11-22 15:30:00.000000 UTC,15.5,22,11,2014,7,120,0.5,4.05
5f1b23,2014-03-01 16:00:00.000000 UTC,16,1,3,2014,7,840,2.7,9.65
5f1b23,2014-02-02 06:15:00.000000 UTC,6.25,2,2,2014,1,960,0,21.4
5f1b23,2014-05-24 19:00:00.000000 UTC,19,24,5,2014,7,480,1.8,8.25
5f1b23,2014-07-05 18:00:00.000000 UTC,18,5,7,2014,7,1260,13.3,36.3
5f1b23,2015-11-29 18:00:00.000000 UTC,18,29,11,2015,1,420,2.3,8.25
5f1b23,2014-09-07 18:45:00.000000 UTC,18.75,7,9,2014,1,180,0.6,4.65
5f1b23,2014-09-20 21:30:00.000000 UTC,21.5,20,9,2014,7,540,2.3,12.65
5f1b23,2016-12-17 11:30:00.000000 UTC,11.5,17,12,2016,7,360,3.7,11.75
5f1b23,2015-07-05 18:45:00.000000 UTC,18.75,5,7,2015,1,540,2.3,10.75
5f1b23,2015-11-22 15:15:00.000000 UTC,15.25,22,11,2015,1,300,0.8,8.25
5f1b23,2015-07-19 16:45:00.000000 UTC,16.75,19,7,2015,1,780,2.8,9.85
5f1b23,2014-03-01 00:00:00.000000 UTC,0,1,3,2014,7,540,2.5,8.65
5f1b23,2016-12-04 09:15:00.000000 UTC,9.25,4,12,2016,1,600,2.5,10.75
5f1b23,2014-02-09 18:30:00.000000 UTC,18.5,9,2,2014,1,660,0,15.15
5f1b23,2015-06-21 19:15:00.000000 UTC,19.25,21,6,2015,1,300,1.2,8.05
5f1b23,2015-12-06 17:30:00.000000 UTC,17.5,6,12,2015,1,300,1.2,6.05
5f1b23,2014-09-13 23:30:00.000000 UTC,23.5,13,9,2014,7,360,0.9,5.65
5f1b23,2016-03-05 22:00:00.000000 UTC,22,5,3,2016,7,120,0.5,6
5f1b23,2014-06-01 17:45:00.000000 UTC,17.75,1,6,2014,1,420,2.1,9.85
5f1b23,2014-06-08 16:30:00.000000 UTC,16.5,8,6,2014,1,840,3.3,11.85
5f1b23,2015-09-20 13:15:00.000000 UTC,13.25,20,9,2015,1,480,1.6,8.25
5f1b23,2014-02-02 11:00:00.000000 UTC,11,2,2,2014,1,300,0,7.7
5f1b23,2014-04-12 22:00:00.000000 UTC,22,12,4,2014,7,420,1.1,8.45
5f1b23,2015-12-13 13:00:00.000000 UTC,13,13,12,2015,1,1860,0,21.25
5f1b23,2014-11-22 14:45:00.000000 UTC,14.75,22,11,2014,7,1380,5.9,17.85
5f1b23,2015-02-08 14:00:00.000000 UTC,14,8,2,2015,1,420,1.6,7.85
5f1b23,2015-10-24 22:00:00.000000 UTC,22,24,10,2015,7,1260,12.6,26.85
5f1b23,2015-06-07 17:00:00.000000 UTC,17,7,6,2015,1,960,4.1,11.85
5f1b23,2015-09-12 23:00:00.000000 UTC,23,12,9,2015,7,60,0.1,7.45
5f1b23,2014-11-29 21:00:00.000000 UTC,21,29,11,2014,7,1260,7.2,17.85
5f1b23,2014-01-26 19:45:00.000000 UTC,19.75,26,1,2014,1,120,0,5.25
5f1b23,2016-11-26 13:45:00.000000 UTC,13.75,26,11,2016,7,720,4,12.75
5f1b23,2015-12-05 18:30:00.000000 UTC,18.5,5,12,2015,7,540,4.7,13.25
5f1b23,2014-08-10 16:00:00.000000 UTC,16,10,8,2014,1,600,2,7.85
5f1b23,2014-03-02 00:15:00.000000 UTC,0.25,2,3,2014,1,360,0.7,6.95
5f1b23,2015-12-12 19:00:00.000000 UTC,19,12,12,2015,7,300,0.4,5.65
5f1b23,2014-08-09 19:15:00.000000 UTC,19.25,9,8,2014,7,660,3.3,9.85
5f1b23,2015-01-17 23:45:00.000000 UTC,23.75,17,1,2015,7,240,0.6,5.65
5f1b23,2015-03-15 18:45:00.000000 UTC,18.75,15,3,2015,1,300,1.3,7.55
5f1b23,2014-02-01 22:00:00.000000 UTC,22,1,2,2014,7,720,0,11.45
5f1b23,2015-07-04 18:00:00.000000 UTC,18,4,7,2015,7,720,2.7,12.65
5f1b23,2015-09-26 19:15:00.000000 UTC,19.25,26,9,2015,7,480,1.9,9.65
5f1b23,2015-08-02 13:45:00.000000 UTC,13.75,2,8,2015,1,600,2,8.65
5f1b23,2015-12-26 19:45:00.000000 UTC,19.75,26,12,2015,7,720,4.3,13.05
5f1b23,2015-11-29 19:00:00.000000 UTC,19,29,11,2015,1,600,1.8,8.05
5f1b23,2015-05-02 18:45:00.000000 UTC,18.75,2,5,2015,7,720,4,12.65
5f1b23,2015-10-17 21:30:00.000000 UTC,21.5,17,10,2015,7,240,1.4,7.05
5f1b23,2015-03-15 19:00:00.000000 UTC,19,15,3,2015,1,480,2.8,9.05
5f1b23,2014-08-17 13:15:00.000000 UTC,13.25,17,8,2014,1,660,2.3,8.85
5f1b23,2015-08-22 23:45:00.000000 UTC,23.75,22,8,2015,7,360,1.3,6.05
5f1b23,2015-11-07 21:00:00.000000 UTC,21,7,11,2015,7,600,2.8,18.25
5f1b23,2015-04-26 04:15:00.000000 UTC,4.25,26,4,2015,1,1380,17.7,37.85
5f1b23,2014-02-16 18:00:00.000000 UTC,18,16,2,2014,1,360,0,10.45
5f1b23,2015-06-28 21:00:00.000000 UTC,21,28,6,2015,1,300,1.1,5.65
5f1b23,2014-03-15 11:45:00.000000 UTC,11.75,15,3,2014,7,600,1.2,8.05
5f1b23,2014-11-01 20:30:00.000000 UTC,20.5,1,11,2014,7,360,1.9,7.85
5f1b23,2014-10-12 13:45:00.000000 UTC,13.75,12,10,2014,1,1620,10.7,28.45
5f1b23,2015-01-25 20:00:00.000000 UTC,20,25,1,2015,1,480,2.3,11.85
5f1b23,2015-10-10 17:30:00.000000 UTC,17.5,10,10,2015,7,780,6.1,16.05
5f1b23,2015-05-16 23:45:00.000000 UTC,23.75,16,5,2015,7,300,1,6.65
5f1b23,2015-08-01 18:45:00.000000 UTC,18.75,1,8,2015,7,480,1.7,8.35
5f1b23,2014-01-25 21:00:00.000000 UTC,21,25,1,2014,7,420,0,7.85
5f1b23,2014-11-16 16:30:00.000000 UTC,16.5,16,11,2014,1,900,6.5,16.45
5f1b23,2014-12-28 00:00:00.000000 UTC,0,28,12,2014,1,420,1.8,7.25
5f1b23,2015-03-14 19:30:00.000000 UTC,19.5,14,3,2015,7,600,2,8.05
5f1b23,2014-05-17 17:15:00.000000 UTC,17.25,17,5,2014,7,240,0.6,6.85
5f1b23,2015-12-12 17:30:00.000000 UTC,17.5,12,12,2015,7,360,0.9,5.25
5f1b23,2014-10-11 15:45:00.000000 UTC,15.75,11,10,2014,7,660,3.4,11.45
5f1b23,2014-07-20 17:45:00.000000 UTC,17.75,20,7,2014,1,540,5.7,16.35
5f1b23,2015-05-02 05:45:00.000000 UTC,5.75,2,5,2015,7,1320,3.8,18.05
5f1b23,2014-08-23 00:00:00.000000 UTC,0,23,8,2014,7,2100,7.4,21.25
5f1b23,2015-03-14 21:15:00.000000 UTC,21.25,14,3,2015,7,240,1.1,7.25
5f1b23,2014-02-15 03:30:00.000000 UTC,3.5,15,2,2014,7,840,0,18.85
5f1b23,2014-02-22 13:15:00.000000 UTC,13.25,22,2,2014,7,960,0,11.45
5f1b23,2014-05-25 19:15:00.000000 UTC,19.25,25,5,2014,1,780,5.5,17.1
5f1b23,2015-02-14 19:30:00.000000 UTC,19.5,14,2,2015,7,540,1.7,7.85
5f1b23,2014-03-22 09:30:00.000000 UTC,9.5,22,3,2014,7,720,2.6,11.45
5f1b23,2015-04-11 22:15:00.000000 UTC,22.25,11,4,2015,7,600,3.9,12.05
5f1b23,2015-12-05 14:45:00.000000 UTC,14.75,5,12,2015,7,1560,4.6,16.25
5f1b23,2015-04-18 20:45:00.000000 UTC,20.75,18,4,2015,7,660,3.5,11.85
5f1b23,2015-03-07 22:30:00.000000 UTC,22.5,7,3,2015,7,240,0.4,5.45
5f1b23,2014-08-23 18:45:00.000000 UTC,18.75,23,8,2014,7,780,3,11.25
5f1b23,2015-01-17 22:30:00.000000 UTC,22.5,17,1,2015,7,900,5.8,14.85
5f1b23,2015-06-07 18:15:00.000000 UTC,18.25,7,6,2015,1,180,0.7,4.85
5f1b23,2014-03-16 21:15:00.000000 UTC,21.25,16,3,2014,1,900,8.9,22.25
5f1b23,2015-05-09 03:45:00.000000 UTC,3.75,9,5,2015,7,660,5.2,14.05
5f1b23,2015-08-22 22:45:00.000000 UTC,22.75,22,8,2015,7,1080,3.9,14.25
5f1b23,2014-10-25 21:30:00.000000 UTC,21.5,25,10,2014,7,660,2.6,10.45
5f1b23,2015-01-18 17:30:00.000000 UTC,17.5,18,1,2015,1,600,3.7,10.65
5f1b23,2015-09-12 14:30:00.000000 UTC,14.5,12,9,2015,7,480,2.3,8.25
5f1b23,2014-02-01 12:45:00.000000 UTC,12.75,1,2,2014,7,480,0,6.65
5f1b23,2014-03-02 10:00:00.000000 UTC,10,2,3,2014,1,360,1.8,9.65
5f1b23,2014-04-05 08:45:00.000000 UTC,8.75,5,4,2014,7,480,1.2,7.65
5f1b23,2014-08-23 21:30:00.000000 UTC,21.5,23,8,2014,7,360,1.6,8.45
5f1b23,2014-03-02 03:00:00.000000 UTC,3,2,3,2014,1,2100,18.1,49.05
5f1b23,2014-03-01 08:30:00.000000 UTC,8.5,1,3,2014,7,180,0.6,6.95
5f1b23,2014-03-15 19:15:00.000000 UTC,19.25,15,3,2014,7,1260,5.9,26.65
5f1b23,2015-06-28 19:45:00.000000 UTC,19.75,28,6,2015,1,900,3.7,11.05
5f1b23,2014-09-27 10:00:00.000000 UTC,10,27,9,2014,7,360,2.1,7.25
5f1b23,2015-04-26 10:15:00.000000 UTC,10.25,26,4,2015,1,600,2.3,10.85
5f1b23,2014-01-25 19:00:00.000000 UTC,19,25,1,2014,7,840,0,8.05
5f1b23,2015-06-27 23:45:00.000000 UTC,23.75,27,6,2015,7,180,0.5,4.25
5f1b23,2014-02-08 23:45:00.000000 UTC,23.75,8,2,2014,7,1380,0,22.05
5f1b23,2015-06-06 16:00:00.000000 UTC,16,6,6,2015,7,780,6.1,16.45
5f1b23,2014-01-19 16:15:00.000000 UTC,16.25,19,1,2014,1,840,0,10.65
5f1b23,2014-01-11 22:15:00.000000 UTC,22.25,11,1,2014,7,720,0,10.25
5f1b23,2015-05-24 20:00:00.000000 UTC,20,24,5,2015,1,240,1,7
5f1b23,2014-02-23 09:30:00.000000 UTC,9.5,23,2,2014,1,240,0,5.05
5f1b23,2014-03-15 18:00:00.000000 UTC,18,15,3,2014,7,540,1.5,8.25
5f1b23,2014-04-20 17:30:00.000000 UTC,17.5,20,4,2014,1,720,2.9,9.25
5f1b23,2015-05-31 19:45:00.000000 UTC,19.75,31,5,2015,1,900,4.3,12.45
5f1b23,2015-04-11 23:30:00.000000 UTC,23.5,11,4,2015,7,180,0.9,5.85
5f1b23,2014-12-27 19:00:00.000000 UTC,19,27,12,2014,7,180,0.5,4.25
5f1b23,2015-05-02 19:00:00.000000 UTC,19,2,5,2015,7,600,3.7,11.65
5f1b23,2015-02-01 17:30:00.000000 UTC,17.5,1,2,2015,1,1320,0,16.85
5f1b23,2014-03-01 09:00:00.000000 UTC,9,1,3,2014,7,240,0.8,5.05
5f1b23,2015-12-12 17:45:00.000000 UTC,17.75,12,12,2015,7,420,1.1,6.05
5f1b23,2014-04-12 19:45:00.000000 UTC,19.75,12,4,2014,7,300,1.1,6.65
5f1b23,2015-04-11 07:00:00.000000 UTC,7,11,4,2015,7,60,0,3.25
5f1b23,2014-02-02 04:15:00.000000 UTC,4.25,2,2,2014,1,420,0,8.85
5f1b23,2015-02-07 17:30:00.000000 UTC,17.5,7,2,2015,7,1020,5.3,13.85
5f1b23,2015-02-14 17:30:00.000000 UTC,17.5,14,2,2015,7,600,2,10.85
